,昵称,时间,评论
0,腥红月影,2020-02-26,"长隆飞鸟乐园距离长隆度假区比较远, 游客也比长隆其它三大景区的少很多, 但这并不代表飞鸟乐园的观赏性, 游玩性会比其它三大景区下降丝毫, 景区内有多种一级保护动物和多国的国鸟, 以及多场科普表演都能让游客更好的了解鸟类, 爱护鸟类, 园区内还有乘船游湖项目, 和部分爬行动物, 是一个可以慢慢逛上一天的休闲游好去处"
1,绿色大白鲨,2020-03-23,"广州长隆飞鸟乐园在长隆度假区, 在熊猫酒店对面乘坐免费的摆渡车, 需要在野生动物园还需换乘一次, 乐园此野生动物园小不少, 门票还可以接受, 定点定时有各种动物表演, 游人不是太多, 特别适合亲子游"
2,winsonwoo,2020-02-07,"小孩玩得非常开心的乐园, 单单看表演就非常的过瘾, 很多动物都让小孩好奇, 小朋友小的都不怕蛇, 飞鸟确实表演很不错, 各种来自世界各地的鸟种, 大开眼界"
3,_gf622****989353,2020-02-07,"小朋友玩的特别开心, 飞鸟主要是看飞鸟, 一看到孔雀就开心得不得了, 在乐园那边跟他是玩的特别的开心, 全部都是游乐的设施, 鹦鹉也是小朋友的最爱"
4,_M15****1199,2020-01-15,"值得推荐, 演出都是展示动物的生活场景, 就吃吃飞飞的, 这边人少些, 参与了很多互动, 科普讲堂有从蛋到初生的宝宝, 只是不同种类哈哈, 百鸟飞歌各种鸟类成群飞过, 很美, 坐了船但是觉得没必要, 很小一圈, 主要是鹈鹕, 有几只天鹅, 不如就各点看了, 各种喂食, 喂河马最搞笑, 简直是在打河马"
5,维妙维肖666,2019-11-28,"值得一游, 园内有很多珍奇鸟类, 工作人员非常热情, 会耐心的讲解介绍, 进入景区可以取一张表演节目单, 按时间安排可以观看表演, 从广州市内可以坐地铁, 号线到长隆站下车从, 口出来, 乘坐长隆免费巴士到长隆酒店, 野生动物园, 大马戏, 飞鸟乐园等地方, 很方便"
6,winsonwoo,2019-11-08,"如果说在广州找一个好玩的动物园, 那么我可以推荐的主要就是三个地方一个是廉价的广州动物园, 第二个就是服务和演出超好的长隆, 动物园, 第三个就是这里了, 性价比是中的一个乐园就是, 飞鸟乐园, 祝你可以看到各种的鸟类, 他们都是人类的好朋友, 对于学习了那科普知识的小朋友来说是非常合适的地方"
7,pekingwang,2020-01-10,"冬天的广州气候最好, 来广州最有趣的莫过于长隆, 长隆里面的飞鸟乐园有鹈鹕, 火烈鸟等等, 在这里可以让孩子亲手制作鸟食, 然后与动物近距离接触投喂"
8,288****703,2020-01-01,"飞鸟乐园是长隆性价比最高的了, 我认为, 里面有鸟类表演, 鳄鱼, 还有儿童乐园哦, 小朋友在里面玩的开心哦, 票的价格也不贵, 块钱左右, 里面还有很多地方可以和小动物互动"
9,Tanya7151010,2020-01-15,"里面有很多珍稀的鸟类, 朱q, 红q, 丹顶鹤等等, 孩子最喜欢喂鹦鹉, 鹦鹉吃瓜子好厉害, 还会把瓜子油鲁隼, 你喂它煽殴献, 它会把煽哦甲サ阶ψ永镂兆, 然后一w一颗分开吃, 金刚鹦鹉还会学人说话, 你说, 它也说, 可爱极了, 不过不知道为什么, 现在不能喂金刚鹦鹉了, 只能喂绿色的小鹦鹉, 坐船游玩也很有趣, 可以喂鹈鹕吃小鱼, 喂天鹅吃面包, 它们会一直追着船游, 游船至中途时, 风景很美, 砂兑灿幸恍┠, 船上会有工作人员讲解"
10,288****267,2019-11-05,"带小朋友去看鸟类最佳的选择, 就是去广州的长隆飞鸟乐园, 这里是鸟类的科普基地, 可以让小孩了解更多的小鸟, 包括他们的生活, 习性, 外表特征, 还有栖息生活的地方, 一天下来小朋友都玩得乐不思蜀, 而且表演非常多有一些完全开放的户外, 有一些使用遮蓬的小型剧场, 下雨都没关系"
11,288****703,2020-01-02,"交通很方便, 性价比很高, 有儿童乐园和很多鸟类, 有鸟类的表演, 还可以喂食, 大部分是, 块钱一次, 很有乐趣, 小朋友超喜欢, 玩的开心, 涨知识哦"
12,多啦a梦爱小宝,2020-01-18,"买的票刷门口微信二维码, 输入相应信息就可以很方便入园, 园区相比其他长隆的园区要小很多, 客流也比较少, 幸好有专车可以从会江地铁可以直达乐园门口, 要不然从会江地铁到乐园这两公里的距离还蛮尴, 尬的, 园区游玩体验还, 百鸟飞歌很精彩, 就是感觉时间有些短, 个人觉得鸟的种类也不算太多, 不过比较动物园已经丰富太多了"
13,268****505,2019-12-24,"长隆飞鸟乐园不愧为鸟的天堂, 这里生活着丹顶鹤, 黑颈鹤, 灰鹤, 白枕鹤等多达多种仙鹤, 这里还生活着多种鹈鹕, 黑颈天鹅, 白鹭, 潜鸭等多种大型水鸟, 或在水边觅食, 或在溪中嬉戏, 营造出一片生机勃勃的湿地生态景象"
14,贝宝0930,2019-12-16,"乐园挺好的, 有很多鸟类, 有一些还能, 距离接触, 孩子玩的很开心, 周末人也不是很多, 餐厅, 坐船这些都不用怎么排队, 坐船一人, 园区里面还有不少喂食动物的地方, 一般一次, 元, 还能近距离和巨嘴鸟拍照, 也是付费的, 元一拍, 小小保育员, 元一组, 园区内停车小车, 元一次, 分钟内免费, 总体性价比是长隆最高的"
15,lin****jing,2019-11-13,"性价比很高, 工作日去的所以人很少, 清静, 全园平地, 遛着无压力, 到处都是座椅, 老小都可以, 工作人员很, 也专业, 有问必答, 也会主动介绍动物知识和趣闻, 虽属长隆旗下, 但是和主区域稍有点距离, 好在有免费穿梭巴士可以在长隆所属区接驳, 我们当天晚上还安排了马戏, 所以下午五点半乘坐巴士离开飞鸟园, 时间刚刚好, 供参考"
16,nicholecai,2020-01-15,"很好玩的一个乐园, 简直就是儿童乐园, 一般适合小朋友去, 这里几乎一整天都有各种的演出, 看完所有演出都差不多时间到闭园了"
17,_WeCh****05306,2020-04-01,"长隆飞鸟乐园之前是鳄鱼公园, 是长隆集团门票最便宜的主题乐园"
18,leerex514,2019-12-24,"地铁长隆站, 口出, 乘坐长隆, 号巴士到动物园南门, 换乘, 号线巴士到终点站, 出了地铁大概是半个小时到, 相比野生动物园, 这边人少一点, 和动物互动项目更多, 科普和表演一体, 孩子很喜欢, 值这个票价"
19,坦然的H2O,2020-01-22,"非常喜欢飞鸟乐园, 游人不是太多所以游园心情大好, 园子里的鸟儿都很灵动, 虽然不能用手触摸, 但是都能近距离观看, 园里环境也很不错, 工作人员的态度都特别温和, 适合带老人孩子游玩, 推荐指数五颗星"
20,楷楷楷k,2020-01-02,"服务态度很好, 整体很不错, 很喜欢长隆环境, 也适合大朋友小朋友们一起玩, 是个旅游外出游玩的好选项, 休闲娱乐的好去处, 里面有各式各样的鸟, 稀有动物, 更多的可以引领大家认识科普鸟类知识"
21,_M15****1199,2020-01-15,"在会江地铁站, 口出来, 一直往前走, 有个停车场的出入口, 从那出去的路边就是上车点, 有长隆工作人员"
22,黑小小奈,2020-04-04,"鸟语花香, 口气清新, 适合放松心情, 跟家人情侣"
23,_M13****6487,2020-01-19,"强烈推荐花个半天时间去一下, 飞鸟乐园园区不大, 虽然不是很出名, 但是很好玩, 百鸟齐飞的场景很震撼, 成群的鸟很值得一看, 还有鳄鱼, 蜥蜴等, 仙鹤很仙的感觉, 很棒"
24,寒冬和盛夏,2019-12-24,"性价比非常高, 动物很多都是放养的, 而且很活泼, 园区内节目丰富, 内容有趣生动, 工作人员也热情有礼, 就是里面的食物比较贵, 投喂动物的价格也很高"
25,寒冬和盛夏,2019-12-23,"性价比超高, 里面设施非常好, 动物也很活泼, 很多都是放养的, 互动很紧密, 工作人员也很热情, 表演丰富, 讲解也很详细, 大人和孩子都收获满满的"
26,肥蹄宝,2020-01-23,"飞鸟乐园的门票比较便宜, 本来以为不好玩的, 没想到这么精彩, 孩子最喜欢看鸟的演出和儿童乐园, 在动物幼儿园还看到了饲养员喂小鸟, 很有趣"
27,268****505,2019-12-09,"飞鸟乐园简直就是鸟的天堂, 这里可以观赏到丹顶鹤, 黑颈鹤等各种仙鹤, 鹈鹕, 黑天鹅, 尤其是在路边的各种鹦鹉, 猛一看, 就像画中的鸟一样"
28,_WeCh****240224,2020-01-14,"长隆整个度假区, 这个性价比是最高的哦, 门票很良心的, 各种珍奇鸟类, 有很多表演, 有儿童体验区, 很多的滑梯之类的, 很好打发时间哦"
29,183****4120,2019-12-03,"挺好的, 野生动物园最好从北门去, 因为小火车和缆车都在北门上车, 可以先做小火车看一下自驾区, 然后再步行, 里面很大, 可以游玩一天, 飞鸟乐园也不错, 整体游玩很满意"
30,M14****203,2020-01-31,"人比较少, 体验很好, 尤其是采用科普讲座的形式, 将娱乐和科普结合起来, 值得推荐"
31,江小葱,2019-11-13,"很不多的遛娃地点, 可以小呆一天, 哇哈哈哈哈, 食物不给带入园哈"
32,etmurphy,2020-01-29,"玩了大半天, 小朋友很开心, 值得一游"
33,小猫咪咪咪咪,2020-01-18,"长隆系列的确是性价比很高的, 表演时间设计合理, 百鸟飞歌表演很有气势, 值得来"
34,etmurphy,2020-01-29,"好玩, 好多鸟, 好多小动物"
35,杜文施泰特邹忌,2019-12-15,不错值得一看
36,M45****174,2020-03-31,非常好的服务
37,D12****434,2020-04-22,满意满意满意
38,D12****434,2020-04-22,满意满意满意
39,M18****907,2020-01-23,"还可以, 挺好的, 取票是扫码提取电子票, 然后验证入园"
40,138****8864,2020-04-05,适合亲子玩
41,M20****804,2020-01-23,"喜欢鸟类的朋友值得一去, 就是地方稍微有点偏, 很难打车, 但是有短驳车, 最早一班是, 的, 鹦鹉很多, 还有鳄鱼表演, 可以和鹦鹉拍照, 一张, 照片自己用手机拍, 孔雀也美, 去的时候正巧孔雀开屏了, 在求偶"
42,sky****un,2020-01-18,"取票手续非常快, 价格也十分优惠, 非常适合带孩子去玩, 会给朋友们再次推荐的, 里面的讲解员服务十分到位, 表演活动内容丰富到位"
43,M14****203,2020-01-31,"人比较少, 体验很好, 尤其是采用科普讲座的形式, 将娱乐和科普结合起来, 值得推荐"
44,小林6699,2020-03-18,"超级多的鸟类, 还有一些两栖动物"
45,_WeCh****829414,2019-12-30,"水天共一色, 百鸟大检阅"
46,M58****992,2020-01-19,"值得一去, 与鸟儿近距离接触, 人比较少, 时间很充足, 表演很好看"
47,M47****988,2019-12-13,"带小孩去还是很好玩的, 环境优美, 树荫跟凳子都很多"
48,M47****988,2019-12-13,"带小孩去还是很好玩的, 环境优美, 树荫跟凳子都很多"
49,大脸猫甜妞,2020-01-01,"小朋友特别开心, 给小动物们喂食, 也增长了见识, 认识了以前没有见过的鸟儿, 还看了很多鸟儿的表演, 也会邀请小朋友和大朋友一起参与, 另外一些有关鸟儿的知识也有探索学堂, 让小朋友和大朋友在游玩的同时又增长了知识, 受益匪浅, 值得再次去玩"
50,M24****535,2019-12-29,"出乎意料的我自己很喜欢, 大自然太神奇, 可以近距离接触鸟类朋友, 欣赏园区很棒的动物表演, 几乎没有错过一个, 还有一个儿童活动区, 适合带孩子来的, 儿童设施都非常有参与性, 像是进口的, 因为时间有限只体验了二十分钟, 孩子没过瘾, 期待再来"
51,_WeCh****83621,2019-12-23,"适合溜娃, 园区不会太大, 餐饮和休息的地方也多, 沿途都有漂亮的鸟看, 大人小孩都不会太累, 很多地方都有科普讲解是亮点, 进入景区的路在修不是很好走, 另外, 儿童乐园区域的监督员语气不太友善, 一脸的傲慢和不耐烦, 虽然理解她的工作但是表达上可以有所改进, 否则真的很影响心情"
52,M21****231,2019-11-04,"比起野生动物园和珠海海洋世界, 这个算是很小的, 但也不止有鸟可看, 里面的爬行动物和其他生物展览也很多, 鸟更是各种名贵的都有, 也算是一个综合性动物园了"
53,M22****254,2020-01-12,很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好
54,_m13****8672,2019-12-19,很好玩的地方
55,Clark的巧克力豆,2019-11-29,"各种飞鸟, 还有飞鸟研究和知识显示, 小朋友们特别喜欢, 可以玩一天, 还有鳄鱼表演, 以及河马喂食, 真的很有意思, 去了野生动物园再来这里我觉得不冲突, 看自己时间是否充裕咯"
56,ianyyy,2020-01-03,"离开长隆有蛮大距离, 短驳车要换一辆才能到, 总体还是蛮好的, 很多平时看不到的飞鸟都有"
57,武装飞天猫,2020-01-18,"很不错哦, 很多种类的鸟, 还可以喂鸟, 比较适合带小朋友去玩, 比较推荐, 有一个鸟类的表演, 各种各样的鸟那个挺好看的, 票价也不算太高, 挺好的"
58,M34****208,2020-02-01,各种各样的鸟是小孩的乐园
59,lucky820309,2020-01-15,"不错, 可以逛一下, 推荐, 适合带小朋友去耍, 门票也不贵, 不错的体验"
60,123456789,2020-02-03,"还可以, 人不是很多"
61,_cs48****8098,2019-11-27,"不如其他乐园有名气, 人也不是很多, 但是却是一个舒服的地方"
62,_WeCh****05306,2019-12-27,"长隆集团里性价比最高的乐园, 之前叫鳄鱼公园"
63,CZ1405,2019-12-13,"到长隆去的第一个景点, 景区很不错, 飞鸟种类较全, 相关表演也很精彩, 小朋友很高兴, 如果说有不足的话就是喂火烈鸟有点贵, 觉得不值"
64,我的小羽彤,2019-12-07,"非常好, 非常人性化, 讲解时间安排无缝衔接, 直接都能参加了, 带孩子的必须考虑去, 反正我们小朋友下次还会再去, 相当值得一看的地方"
65,M25****6917,2019-12-18,"适合节假日带娃, 长隆里最超值的一个动物园, 里面的表演超级漂亮, 孩子们非常喜欢大嘴鸟, 一起拍照有点小贵, 公交不方便, 最好自驾"
66,_qcs1****9961,2019-11-12,"携程订门票很方便, 景区直接能用, 最重要一点, 随时开票, 对公司团建来说, 报销很方便, 反正现在酒店机票用车都在携程, 快速便捷"
67,M47****235,2019-10-04,"还保留着原来鳄鱼公园的痕迹, 但是现在的主角已经不是鳄鱼了, 原本这里是鳄鱼的繁殖基地, 现在是属于鸟类知识的科普基地, 这个转型是很好的, 因为小朋友们都喜欢小鸟, 对鳄鱼这个形象是多少有那么一点点的害怕, 这里的表演又好看又喜庆特别说小朋友们欢迎"
68,cizhen,2019-10-04,"长隆的飞鸟乐园是长隆的主题公园之一, 相对长隆的海洋公园, 还有欢乐世界和水上乐园来说, 飞鸟乐园的门票算是最便宜的了, 在飞鸟乐园里面有很多的动物, 比如漂亮的孔雀, 各种各样的蛇, 还有很少见的蝙蝠, 在长隆飞鸟乐园里面有很多的表演, 进门口的时候可以拿一张时间表, 这么多表演当中, 最刺激的就是鳄鱼表演啦, 小忍者把手伸进鳄鱼的嘴巴里面, 非常的惊险"
69,_YX1****343,2020-01-07,"适合老人小孩一起玩一天的, 景点随处有休息的椅子, 服务人员态度很好景点也很干净, 可以喂各种小动物, 建议挑选几种动物喂一下"
70,小林6699,2019-11-04,"超级多的鸟, 小朋友非常的开心, 推荐"
71,发仔,2019-12-13,"性价比高, 小朋友喜欢, 虽然没有野生动物园那么大, 可是也够玩一天了, 非常不错的选择, 推荐赞"
72,Travel记录,2019-11-10,"飞鸟飞成一道彩虹, 在于他们自己是在"
73,151****8812,2020-01-19,"好玩, 有表演, 投喂, 儿童乐园"
74,151****8812,2020-01-19,"好玩, 有表演, 投喂, 儿童乐园"
75,juki235,2019-07-24,"广州长隆公园里还有专门的飞鸟乐园, 这里生活着来自世界各地的数百种鸟类, 有些水鸟是散养, 其余的则是在大笼子里, 在这里你可以看到国家一级保护动物朱鹳, 红腹锦鸡, 丹顶鹤等, 真是让人大开眼界"
76,M22****0750,2019-12-25,"飞鸟飞鸟, 鸟的天堂, 乐鸟玩鸟吃鸟看鸟, 鸟鸟鸟, 还是鸟, 鹗鱼, 会吃钱的, 鱼, 鱼鱼, 鱼乐之余"
77,fra****82,2019-12-30,"票价便宜, 但体验感觉非常好, 孩子在里面喂了火烈鸟和鹦鹉, 最喜欢的说是儿童乐园, 玩了两个小时还不够"
78,黄清清55,2019-12-19,"鸟的品种很多, 最欢喜近距离投喂火烈鸟宝宝的项目, 需要另外花钱, 动物表演也很精彩, 门票价格合理"
79,M22****975,2020-01-18,"非常好的一次旅行, 很大的湿地公园, 我们一家都很开心"
80,E45****84,2019-11-15,"还不错, 孩子喜欢这里, 可以看到很多鸟类, 人也不多, 坐车方面, 讲解员讲的也很详细"
81,158****4634,2019-11-04,"景区可玩性非常高, 体验非常棒"
82,toyopico,2020-01-19,"很好, 确认迅速, 询问详细回到, 并做到推荐以后希望更多的优惠活动"
83,Eva  WANG,2019-11-12,"第二次去了, 孩子非常喜欢, 有鳄鱼和各种鸟类, 孩子玩的都不想回去了"
84,M35****2179,2019-12-15,"很好很好, 值得一去, 交通便利, 配套设施齐全, 服务态度非常不错"
85,张娜9999,2019-11-10,"鸟类确实很多, 很漂亮, 都能近距离的观看, 小孩子也比较喜欢的"
86,_WeCh****85643,2019-11-15,"去了两次了, 很适合小孩玩, 就是景点的东西贵, 带小孩值得去"
87,M17****232,2020-01-21,非常棒的体验
88,136****3068,2020-01-16,"去年这时候去的, 小朋友们到现在记忆犹新非常值得去的地方"
89,186****7730,2020-01-23,到处都是鸟儿
90,铁齿铜牙qq,2019-11-26,"带着孩子去, 玩的特别开心, 圆子里有上千种珍奇鸟类"
91,M47****235,2019-09-14,"每年都会来一次这个乐园, 小孩中学以前都是很值得走一走的地方, 基本上来这里游玩的都是一家大小, 这里的鸟类种类非常多, 最喜欢就是看鹦鹉"
92,馨馨,2019-12-01,"还可以吧, 比长隆野生动物园小些, 但是可以喂小动物"
93,cizhen,2019-07-26,"想想过去, 我们来的时候这里叫做鳄鱼公园, 现在缴费了乐园主题已经改变了, 主要是来看飞鸟的, 品种非常多还有专门的表演, 真是太棒了"
94,186****9583,2019-12-04,"巨嘴鸟非常漂亮, 随处都有鹦鹉, 干净的园区"
95,_WeCh****342134,2019-11-10,"非常好, 很适合小朋友和老人游玩"
96,M22****0750,2019-12-25,"玩好吃好好好好, 乐乐乐长隆飞鸟之乐"
97,139****6522,2020-01-07,"景点好唔错, 买票亦都好方便"
98,Lina,2020-01-04,"动物种类繁多, 特别适合带小孩子去旅行"
99,E13****71,2019-10-30,"特别好, 工作日去的人不多, 表演很精彩"
100,_WeCh****415430,2020-01-01,"广州长隆里最便宜的景点, 超出期待"
101,意大利凌统,2019-12-17,"孩子很喜欢, 玩的很开心"
102,_gf622****989353,2019-07-25,"飞鸟乐园就是最适合小孩去的地方, 里面有一些节目, 非常有趣, 比如说鳄作剧, 还有鸟类知识的问答, 都深受小孩大人的喜欢, 有特价的时候, 最适合带小孩去玩, 下雨天也不怕去, 大部分的表演都是有遮挡的地方"
103,意大利凌统,2019-12-17,"名副其实, 特别好玩, 孩子很喜欢"
104,梦龙0322,2019-12-11,"飞鸟乐园好多表演, 还是很值的呢"
105,118****562,2019-11-21,"好地方, 虽然有点偏, 但是很不错"
106,M10****039,2020-01-25,"非常好的旅行体验, 值得推荐"
107,M10****039,2020-01-25,"非常好的旅行体验, 值得推荐"
108,_WeCh****500308,2020-01-11,"非常不错, 下次再去一次"
109,尚Queen,2019-12-16,"喜欢喜欢, 必须再来一次"
110,_WeCh****54381,2020-01-25,"非常喜欢, 性价比高"
111,Helen,2019-11-05,"科普乐园, 孩子很开心"
112,Helen,2019-11-05,"科普乐园, 小孩很开心"
113,139****0220,2020-01-26,"好玩, 去了很多次"
114,M46****087,2019-12-10,"蛮好的, 小孩喜欢"
115,M55****276,2019-12-10,"非常棒, 孩子很喜欢"
116,_WeCh****786392,2019-12-10,携程订票靠谱儿放心
117,海蓝宝贝7266,2019-12-02,小孩子看鸟类不错
118,M44****467,2019-11-19,"各种飞鸟, 非常好"
119,百事可乐8888,2019-11-12,"非常好, 下次再来"
120,m71****88,2020-01-19,表演节目吸引人
121,雪邦苻坚,2020-01-18,好好好谢谢你的爱
122,M37****9206,2020-01-13,园区很大也很好玩
123,davidzeng918,2019-11-29,"不错的, 干净安静"
124,成香依依,2019-11-14,"喜欢, 第二次来了"
125,_WeCh****240262,2020-01-24,"非常好, 非常好"
126,M36****8489,2019-12-02,不错小动物可爱
127,134****0981,2019-11-21,"不错, 非常方便"
128,巨港刘邦,2019-11-14,适合带小孩子去
129,Eva  WANG,2019-11-12,"棒棒哒, 值得去"
130,_CFT0****9950,2020-01-20,拍照的好去处
