,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,9098.05,-1440.34,52046.54,31393.28,35010.81,27609.43,24692.07,20933.69,19481.59,15839.96
1,600265,-1917.0,994.66,-3815.27,-3195.16,1229.98,3326.61,8713.93,-3168.69,-219.23,3034.16
2,002556,117494.44,-83686.57,44353.35,-15526.96,63065.36,5883.62,68620.05,104180.64,-152016.13,-36331.81
3,002385,178709.78,106746.75,71502.28,64239.92,129948.24,84741.97,52201.0,69486.99,66541.49,38996.35
4,000713,13196.94,-6696.54,-14174.02,-26798.43,11271.88,24839.73,20113.9,5334.99,-10606.53,-2597.66
5,002714,998889.54,135765.93,178713.6,128246.98,91540.41,45538.45,12086.15,40649.83,17809.43,8981.5
6,002891,9686.51,2716.37,7564.44,6709.75,3132.69,2724.83,,,,
7,600371,4247.54,3921.55,3765.58,14100.24,11108.0,27586.24,5143.1,136.54,11408.11,1533.69
8,600598,81416.83,131387.19,84311.66,160670.79,77578.3,191007.04,182111.54,151622.56,209617.37,-195845.3
9,000860,130459.88,317544.47,247086.48,100822.33,35036.94,29390.97,74416.38,-28250.5,2708.1,65120.79
10,600354,-274.7,-8278.62,-26171.14,-28783.54,30741.57,47216.56,20568.33,49163.54,-19542.02,22737.77
11,600506,-428.56,1474.69,380.33,-2169.07,1424.25,289.41,-5.03,-4512.32,-2189.88,3282.68
12,601952,65892.49,35163.26,60547.49,79740.36,49474.02,29603.23,,,,
13,600313,4023.49,3184.3,700.02,7127.09,12897.93,35.0,756.27,4446.73,1780.99,179.88
14,603668,74559.8,24401.12,9086.53,3229.9,14278.41,10283.87,235.27,6067.69,-4498.8,
15,603336,2528.39,-6330.23,4556.26,1296.2,2123.32,-1630.94,1765.05,2915.28,2798.15,
16,300189,-11122.23,48763.95,39073.65,-85391.37,7656.92,4524.0,1355.21,-3286.1,535.97,1528.76
17,600108,-7960.32,16555.09,-2733.94,95.74,5566.48,13653.47,37418.49,39700.64,6023.27,5549.41
18,002746,117155.63,54942.77,24009.67,43011.51,15412.97,9811.21,10264.85,23835.72,,
19,002041,20635.29,-2870.09,-18356.48,10498.27,56385.74,73656.68,62759.65,52410.55,12025.77,40622.26
20,002157,392360.53,133073.49,91179.16,169094.5,73496.88,59395.94,-5727.73,25992.19,31545.21,-9214.13
21,601118,92441.73,55538.72,-7703.96,53639.53,-23792.97,-1704.54,35009.22,-46322.07,88225.26,-15136.93
22,002311,324698.07,103576.4,49422.15,114215.45,141406.31,107139.88,69793.89,6312.63,54272.51,-9184.04
23,300498,1830293.3,649447.09,799401.84,1465274.37,930322.28,457168.25,186021.43,375091.61,642093.72,235707.11
24,002299,484960.92,235635.45,146679.66,133032.67,43288.44,92081.75,2160.59,39787.85,46250.8,27492.26
25,002696,34863.04,9195.54,31983.18,7842.23,7322.14,-3402.84,10030.81,5260.96,9933.55,4888.03
26,002124,53193.92,18995.93,33479.83,51301.8,22054.84,8522.82,18302.88,10493.51,5952.85,38.67
27,600359,56.23,2536.06,-6578.31,4697.44,8251.37,-3420.15,7305.86,4002.74,-46974.43,18180.09
28,002086,1348.58,-85045.1,5954.72,11744.24,7964.6,-4354.11,3517.78,11626.5,4255.42,2287.32
29,002240,1879.1,-142.49,5550.65,5006.64,9995.92,24250.09,17550.4,36593.15,32797.19,-341.88
30,600076,20968.36,52028.31,23233.19,16743.69,5090.07,-9734.63,-3404.2,-1356.9,-9907.02,-18566.22
31,300094,-7652.99,12188.86,-38176.72,-21292.66,1764.07,882.25,-16139.39,-8769.47,-25761.86,-12639.95
32,300106,2171.51,74199.34,8094.69,-26956.6,7277.59,-16662.5,-3383.45,2581.04,-2166.1,-2211.3
33,002200,-10633.19,-18336.36,10571.75,-52306.86,-8648.28,-21292.5,-28969.45,-7809.72,-570.31,-585.38
34,600275,-1257.56,-2644.66,-2776.59,1122.37,-1149.53,18.82,-1703.92,-1929.24,-1222.46,3399.5
35,000592,35301.13,-63944.68,2405.43,-3698.69,-21552.12,-888.12,-7024.04,7880.49,-4573.44,-9605.21
36,300087,1280.53,14567.55,13574.54,18124.82,9890.57,9723.52,1029.59,5046.34,-7588.31,-2450.46
37,002069,38392.04,29142.83,13647.79,30758.42,31770.71,4819.3,19081.19,37845.09,8214.18,4258.08
38,002234,173733.19,44440.14,-7661.62,28365.15,17836.93,-17332.66,-6341.11,-749.97,22797.32,11570.57
39,300313,-3493.72,-1205.36,7872.16,12165.52,-20004.58,318.44,-2698.59,-154.93,3850.44,1577.55
40,600540,9768.15,1906.83,-16664.84,5151.87,-1981.77,5469.49,4715.16,73559.04,-1751.74,-21058.88
41,600467,43506.41,25637.73,32334.55,43209.19,38205.82,21394.08,9479.65,1526.36,3720.37,10749.59
42,600257,3955.53,-3931.76,3966.59,2998.65,1802.86,65.67,-7564.15,2263.1,-399.37,1586.41
43,002679,-1029.89,9380.49,7680.01,-1424.89,-5619.97,-286.29,-53458.05,-13372.39,1847.27,2127.19
44,300262,-9789.78,-33338.02,-41949.39,-42020.93,-13246.09,13873.87,-26568.05,-19047.04,-3265.36,2034.3
45,300761,241736.14,171151.67,95406.48,81521.58,76795.75,,,,,
46,600097,19471.75,19049.76,20025.18,19798.06,8176.12,17006.43,18424.21,32275.5,14526.54,11545.84
47,002321,65826.21,134294.53,-32923.56,27801.14,61877.2,71167.38,29526.28,30218.05,26298.15,3311.04
48,000798,-422.09,1259.49,14871.51,3031.89,6427.34,-1566.27,9314.7,1421.48,3279.58,6668.92
49,000663,7094.19,-14696.06,7379.04,22933.86,5278.39,6241.9,4770.78,12224.61,87.24,-2544.89
50,600975,-7313.46,-5116.32,14311.87,13763.13,8585.65,-2844.26,-2479.49,-3765.49,6285.65,2587.91
51,002458,213474.44,42879.53,-14098.85,57125.76,-26149.73,7003.46,-9828.55,7189.26,24615.97,11314.25
52,002688,28218.6,11717.46,2725.3,29241.16,21496.63,-5801.62,14832.31,8880.61,10659.08,11804.92
53,002100,30697.95,-117844.16,64932.73,31605.17,51218.58,48460.57,9060.63,28280.5,34861.38,19283.42
54,000735,-3817.76,5693.74,31666.28,28881.4,2534.93,-2184.3,18315.07,-7246.74,11450.9,6407.12
55,600965,6303.52,21539.3,22876.19,21201.03,25810.56,19012.12,6545.85,2767.65,3969.98,2034.78
56,603363,39415.92,2726.12,2677.59,12895.24,12923.8,-3366.25,,,,
57,300511,58692.84,40681.68,30572.7,31771.39,27376.6,25324.04,23506.94,,,
58,002505,15946.07,8277.15,-97568.84,-43350.61,6265.34,-47235.45,6133.73,4403.18,29420.23,-25259.49
59,002772,35914.99,23179.26,20733.61,23339.22,20943.11,17031.01,9302.86,9455.56,,
60,300143,2978.0,9968.81,16682.11,4461.75,5237.26,2124.82,1360.08,2705.97,9131.59,6151.48
61,600189,7586.5,19134.37,29674.86,-5303.17,15631.26,384.8,11910.01,-24894.81,545.67,-28895.2
62,200992,11029.65,6963.59,6320.59,8743.57,5544.34,6532.05,2059.11,3622.51,5342.73,7825.93
